customer,status,priority,lastContact,nextAction,notes
Acme Corp,Hot,High,2025-08-01,2025-08-15,Urgent prospect from expo
Beta Ltd,Cold,Low,,2025-09-01,Call next month
Gamma LLC,Follow-up,Medium,2025-08-10,,Shared brochure via email
Delta Traders,Hot,Medium,2025-08-18,2025-08-25,Requested price list
Echo Industries,Cold,Low,,,No response yet
Foxtrot Co,Follow-up,High,2025-08-05,2025-08-20,Meeting scheduled
Globex Inc,Hot,High,2025-08-12,2025-08-19,Interested in bulk order
Hooli Pvt Ltd,Cold,Medium,,2025-09-10,Send product catalog
Initech,Follow-up,Low,2025-08-02,,Waiting on feedback
Umbrella Corp,Hot,High,2025-08-08,2025-08-22,Priority lead from referral
